,school,rating,type,students,grades,city,zip
2633,Mary J Tanner Primary School,4,Public district,339, PK-3, Middle Granville, 12849
2634,Craig Hill Elementary School,4,Public district,322, 3-5, Rochester, 14626
2635,Arcadia High School,4,Public district,"1,106", 9-12, Rochester, 14612
2636,Olympia High School,4,Public district,"1,033", 6-12, Rochester, 14615
2637,Highview School,4,Public district,272, 2-3, Hartsdale, 10530
2638,Richard J Bailey School,4,Public district,438, 4-6, White Plains, 10607
2639,Greenport High School,4,Public district,361, 7-12, Greenport, 11944
2640,Colden Elementary School,4,Public district,182, K-5, Colden, 14033
2641,Groton Elementary School,4,Public district,416, PK-5, Groton, 13073
2642,Groton High School,4,Public district,441, 6-12, Groton, 13073
2643,Guilderland Elementary School,4,Public district,535, K-5, Guilderland, 12084
2644,Hammond Central School,4,Public district,277, PK-12, Hammond, 13646
2645,Hampton Bays Elementary School,4,Public district,713, K-4, Hampton Bays, 11946
2646,Hancock Junior Senior High School,4,Public district,210, 5-12, Hancock, 13783
2647,Kenney Middle School,4,Public district,417, 5-8, Hannibal, 13074
2648,Hannibal High School,4,Public district,439, 9-12, Hannibal, 13074
2649,Harpursville Junior Senior High School,4,Public district,375, 7-12, Harpursville, 13787
2650,Harrisville Junior Senior High School,4,Public district,197, 7-12, Harrisville, 13648
2651,Haverstraw Elementary School,4,Public district,611, 4-6, Haverstraw, 10927
2652,Stony Point Elementary School,4,Public district,654, K-3, Stony Point, 10980
2653,Willow Grove Middle School,4,Public district,661, 4-6, Thiells, 10984
2654,Fulton School,4,Public district,569, 1-5, Hempstead, 11550
2655,Buchanan Verplanck Elementary School,4,Public district,339, K-5, Buchanan, 10511
2656,Herkimer High School,4,Public district,465, 7-12, Herkimer, 13350
2657,Herkimer Elementary School,4,Public district,622, PK-6, Herkimer, 13350
2658,Hermon Dekalb Central School,4,Public district,407, PK-12, De Kalb Junction, 13630
2659,Highland Middle School,4,Public district,399, 6-8, Highland, 12528
2660,Highland Falls Intermediate School,4,Public district,329, 3-8, Highland Falls, 10928
2661,Holley Junior Senior High School,4,Public district,448, 7-12, Holley, 14470
2662,Homer Intermediate School,4,Public district,428, 3-5, Homer, 13077
2663,Hoosick Falls Elementary School,4,Public district,597, PK-6, Hoosick Falls, 12090
2664,Hornell Intermediate School,4,Public district,366, 4-6, Hornell, 14843
2665,Center Street School,4,Public district,364, PK-4, Horseheads, 14845
2666,Hudson Junior Senior High School,4,Public district,504, 9-12, Hudson, 12534
2667,Hudson Falls High School,4,Public district,652, 9-12, Hudson Falls, 12839
2668,Hudson Falls Intermediate School,4,Public district,341, 4-6, Hudson Falls, 12839
2669,Washington School,4,Public district,408, K-4, Huntington Station, 11746
2670,Woodhull Intermediate School,4,Public district,464, 5-6, Huntington, 11743
2671,Franklin D Roosevelt Senior High School,4,Public district,"1,227", 9-12, Staatsburg, 12580
2672,Haviland Middle School,4,Public district,823, 6-8, Hyde Park, 12538
2673,Seneca School,4,Public district,170, K-3, Rochester, 14617
2674,Maud S Sherwood Elementary School,4,Public district,315, 2-5, Islip, 11751
2675,Lehman Alternative Community School,4,Public district,304, 6-12, Ithaca, 14850
2676,Caroline Elementary School,4,Public district,341, PK-5, Slaterville Springs, 14881
2677,Fall Creek Elementary School,4,Public district,228, K-5, Ithaca, 14850
2678,Carlyle C Ring Elementary School,4,Public district,419, PK-4, Jamestown, 14701
2679,Abraham Lincoln Elementary School,4,Public district,440, PK-4, Jamestown, 14701
2680,Milton J Fletcher Elementary School,4,Public district,551, PK-4, Jamestown, 14701
2681,Persell Middle School,4,Public district,459, 5-8, Jamestown, 14701
2682,Jefferson Central School,4,Public district,224, PK-12, Jefferson, 12093
2683,Terryville Road School,4,Public district,479, 3-5, Port Jefferson Station, 11776
2684,Johnson City Middle School,4,Public district,547, 6-8, Johnson City, 13790
2685,Ben Franklin Middle School,4,Public district,655, 5-7, Buffalo, 14223
2686,Holmes Elementary School,4,Public district,301, K-4, Tonawanda, 14150
2687,George Washington School,4,Public district,390, PK-4, Kingston, 12401
2688,Ernest C Myer School,4,Public district,216, K-4, Hurley, 12443
2689,J Watson Bailey Middle School,4,Public district,"1,049", 5-8, Kingston, 12401
2690,Kingston High School,4,Public district,"1,903", 9-12, Kingston, 12401
2691,E R Crosby Elementary School,4,Public district,325, K-4, Lake Katrine, 12449
2692,M Clifford Miller Middle School,4,Public district,847, 5-8, Lake Katrine, 12449
2693,C Grant Grimshaw School,4,Public district,375, PK-6, LaFayette, 13084
2694,John T Waugh Elementary School,4,Public district,354, K-5, Angola, 14006
2695,Lansingburgh Senior High School,4,Public district,706, 9-12, Troy, 12182
2696,Lawrence Middle School,4,Public district,585, 6-8, Lawrence, 11559
2697,Lawrence Senior High School,4,Public district,940, 9-12, Cedarhurst, 11516
2698,North Rose Wolcott High School,4,Public district,347, 9-12, Wolcott, 14590
2699,North Rose Wolcott Middle School,4,Public district,368, 5-8, Wolcott, 14590
2700,Benton Hall Academy,4,Public district,527, K-5, Little Falls, 13365
2701,Little Falls High School,4,Public district,324, 9-12, Little Falls, 13365
2702,Elmcrest Elementary School,4,Public district,445, K-6, Liverpool, 13090
2703,Long Branch Elementary School,4,Public district,376, K-6, Liverpool, 13090
2704,Morgan Road Elementary School,4,Public district,493, K-6, Liverpool, 13090
2705,Nate Perry Elementary School,4,Public district,435, K-6, Liverpool, 13088
2706,Soule Road Elementary School,4,Public district,408, K-6, Liverpool, 13090
2707,Willow Field Elementary School,4,Public district,414, K-6, Liverpool, 13090
2708,Emmet Belknap Intermediate School,4,Public district,677, 5-6, Lockport, 14094
2709,North Park Junior High School,4,Public district,643, 7-8, Lockport, 14094
2710,Roy Kelley Elementary School,4,Public district,461, K-4, Lockport, 14094
2711,Lyons Senior High School,4,Public district,246, 9-12, Lyons, 14489
2712,Madison Central School,4,Public district,474, PK-12, Madison, 13402
2713,Madrid Waddington Elementary School,4,Public district,329, PK-5, Madrid, 13660
2714,Malone Middle School,4,Public district,545, 6-8, Malone, 12953
2715,Mamaroneck Avenue School,4,Public district,724, K-5, Mamaroneck, 10543
2716,William Appleby Elementary School,4,Public district,422, PK-6, Marathon, 13803
2717,Marathon High School,4,Public district,286, 7-12, Marathon, 13803
2718,Maryvale Intermediate School,4,Public district,466, 3-5, Buffalo, 14225
2719,William Floyd High School,4,Public district,"2,745", 9-12, Mastic Beach, 11951
2720,William Floyd Elementary School,4,Public district,746, K-5, Shirley, 11967
2721,Mayfield Elementary School,4,Public district,509, PK-6, Mayfield, 12117
2722,Mcgraw Elementary School,4,Public district,273, PK-5, McGraw, 13101
2723,Mexico Middle School,4,Public district,599, 5-8, Mexico, 13114
2724,Mexico Elementary School,4,Public district,355, PK-4, Mexico, 13114
2725,Hawkins Path School,4,Public district,285, 1-5, Selden, 11784
2726,Jericho Elementary School,4,Public district,383, 1-5, Centereach, 11720
2727,Oxhead Road School,4,Public district,411, 1-5, Centereach, 11720
2728,C E Walters School,4,Public district,746, K-4, Yaphank, 11980
2729,Coram Elementary School,4,Public district,"1,101", K-4, Coram, 11727
2730,Ridge Elementary School,4,Public district,734, K-4, Ridge, 11961
2731,Longwood Middle School,4,Public district,"1,525", 5-6, Middle Island, 11953
2732,Middleburgh Elementary School,4,Public district,385, PK-6, Middleburgh, 12122
2733,Middletown High School,4,Public district,"2,158", 9-12, Middletown, 10940
2734,Monhagen Middle School,4,Public district,811, 6-8, Middletown, 10940
2735,Maple Hill Elementary School,4,Public district,"1,105", K-5, Middletown, 10940
2736,Sound Beach School,4,Public district,567, 3-5, Miller Place, 11764
2737,Minerva Central School,4,Public district,102, PK-12, Minerva, 12857
2738,Millard Fillmore Elementary School,4,Public district,464, PK-5, Moravia, 13118
2739,Edward R Andrews Elementary School,4,Public district,303, PK-5, Hamilton, 13346
2740,Mount Morris Middle/Senior High School,4,Public district,233, 7-12, Mount Morris, 14510
2741,Mount Morris Elementary School,4,Public district,344, PK-6, Mount Morris, 14510
2742,Columbus School At The Franko Building,4,Public district,521, PK-6, Mount Vernon, 10552
2743,Holmes School,4,Public district,394, PK-6, Mount Vernon, 10553
2744,Pennington School,4,Public district,366, PK-8, Mount Vernon, 10552
2745,Grimes School,4,Public district,387, K-6, Mount Vernon, 10550
2746,Longfellow Middle School,4,Public district,583, 6-9, Mount Vernon, 10550
2747,Naples Elementary School,4,Public district,375, PK-6, Naples, 14512
2748,Bardonia Elementary School,4,Public district,404, K-5, Nanuet, 10954
2749,New Lebanon Junior Senior High School,4,Public district,212, 7-12, New Lebanon, 12125
2750,New Paltz Middle School,4,Public district,509, 6-8, New Paltz, 12561
2751,Columbus Elementary School,4,Public district,802, K-5, New Rochelle, 10801
2752,Jefferson Elementary School,4,Public district,556, K-5, New Rochelle, 10805
2753,New Rochelle High School,4,Public district,"3,485", 9-12, New Rochelle, 10801
2754,Is 218 Salome Urena,4,Public district,173, 6-8, New York, 10040
2755,Ps 178 Dr Selman Waksman,4,Public district,437, K-5, Bronx, 10475
2756,Ps 279 Capt Manuel Rivera Jr,4,Public district,"1,087", K-8, Bronx, 10453
2757,Ps 5 Ellen Lurie,4,Public district,593, PK-5, New York, 10040
2758,Is 528 Bea Fuller Rodgers School,4,Public district,226, 6-8, New York, 10033
2759,High School for Health Professions & Human Services,4,Public district,"1,817", 9-12, New York, 10003
2760,High School Of Economics And Finance,4,Public district,750, 9-12, New York, 10006
2761,Frederick Douglass Academy,4,Public district,"1,360", 6-12, New York, 10001
2762,"Science Skills Center High School for Science, Tech and Creative Arts",4,Public district,557, 9-12, Brooklyn, 11201
2763,Ps 37 Multiple Intelligence School,4,Public district,647, K-8, Bronx, 10463
2764,Ps 306,4,Public district,695, K-5, Bronx, 10453
2765,Ps 8 Luis Belliard,4,Public district,527, PK-5, New York, 10032
2766,Repertory Company High School for Theatre Arts,4,Public district,242, 9-12, New York, 10036
2767,Newcomers High School,4,Public district,887, 9-12, Queens, 11101
2768,Art and Design High School,4,Public district,"1,445", 9-12, New York, 10022
2769,Fort Hamilton High School,4,Public district,"4,580", 9-12, Brooklyn, 11209
2770,Jhs 131 Albert Einstein,4,Public district,454, 6-8, Bronx, 10473
2771,Jhs 78 Roy H Mann,4,Public district,563, 6-8, Brooklyn, 11234
2772,James Madison High School,4,Public district,"3,655", 9-12, Brooklyn, 11229
2773,New Dorp High School,4,Public district,"3,046", 9-12, Staten Island, 10306
2774,New Utrecht High School,4,Public district,"3,560", 9-12, Brooklyn, 11214
2775,Ps 1 The Bergen,4,Public district,"1,298", PK-5, Brooklyn, 11220
2776,Ps 3 The Bedford Village,4,Public district,393, PK-5, Brooklyn, 11216
2777,Ps 13 Roberto Clemente,4,Public district,493, PK-5, Brooklyn, 11207
2778,Ps 15 Jackie Robinson,4,Public district,436, PK-5, Queens, 11413
2779,Ps 17 Henry David Thoreau,4,Public district,551, PK-5, Queens, 11102
2780,Ps 18 John G Whittier,4,Public district,568, PK-5, Staten Island, 10310
2781,Ps 19 Marino Jeantet,4,Public district,"2,000", K-5, Queens, 11368
2782,Ps 20 Anna Silver,4,Public district,494, PK-5, New York, 10002
2783,Ps 21 Crispus Attucks,4,Public district,574, PK-5, Brooklyn, 11233
2784,Ps 22 Graniteville,4,Public district,967, PK-5, Staten Island, 10303
2785,Ps 28 Wright Brothers,4,Public district,668, PK-5, New York, 10032
2786,Ps 30 Hernandez Hughes,4,Public district,250, PK-5, New York, 10035
2787,Ps 33 Timothy Dwight,4,Public district,922, PK-5, Bronx, 10468
2788,P.S. 35 Nathaniel Woodhull,4,Public district,713, PK-5, Queens, 11423
2789,Ps 36 Margaret Douglas,4,Public district,395, PK-5, New York, 10027
2790,Cynthia Jenkins School,4,Public district,451, PK-5, Queens, 11434
2791,Ps 38 George Cromwell,4,Public district,375, PK-5, Staten Island, 10306
2792,Ps 154 Harriet Tubman,4,Public district,293, PK-5, New York, 10027
2793,Ps 20 George J Werdan Iii,4,Public district,"1,069", PK-8, Bronx, 10467
2794,Ps 42 Claremont,4,Public district,430, PK-5, Bronx, 10457
2795,Ps 43 Jonas Bronck,4,Public district,478, PK-5, Bronx, 10454
2796,Ps 44 Marcus Garvey,4,Public district,138, PK-5, Brooklyn, 11221
2797,Ps 46 Albert V Maniscalco,4,Public district,270, PK-5, Staten Island, 10305
2798,Is 49 Bertha A Dreyfus,4,Public district,626, 6-8, Staten Island, 10304
2799,Jhs 50 John D Wells,4,Public district,289, 6-8, Brooklyn, 11211
2800,Ps 54 Hillside,4,Public district,565, K-5, Queens, 11418
2801,James Weldon Johnson School,4,Public district,803, PK-8, New York, 10029
2802,Ps 57 Hubert H Humphrey,4,Public district,714, PK-5, Staten Island, 10304
2803,Ms 61 Gladstone H Atwell,4,Public district,723, 6-8, Brooklyn, 11225
2804,Ps 65 Mother Hale Academy,4,Public district,393, PK-5, Bronx, 10454
2805,Ps 67 Mohegan School,4,Public district,543, PK-5, Bronx, 10460
2806,Is 68 Isaac Bildersee,4,Public district,347, 6-8, Brooklyn, 11236
2807,Ps 68 Cambridge,4,Public district,650, PK-5, Queens, 11385
2808,Ps 72 Dr William Dorney,4,Public district,832, PK-5, Bronx, 10465
2809,Benjamin Banneker Academy,4,Public district,844, 9-12, Brooklyn, 11205
2810,Jhs 80 The Mosholu Parkway,4,Public district,690, 6-8, Bronx, 10467
2811,Ps 82 Hammond,4,Public district,651, K-5, Queens, 11435
2812,Ps 84 Jose De Diego,4,Public district,795, PK-8, Brooklyn, 11249
2813,Ps 86 The Irvington,4,Public district,379, K-5, Brooklyn, 11237
2814,Ps 88 Seneca,4,Public district,940, PK-5, Queens, 11385
2815,Ps 90 Horace Mann,4,Public district,852, PK-5, Queens, 11418
2816,Ps 91 Richard Arkwright,4,Public district,751, PK-5, Queens, 11385
2817,Ps 92 Harry T Stewart Sr,4,Public district,920, PK-5, Queens, 11368
2818,Ps 93 William H Prescott,4,Public district,288, PK-5, Brooklyn, 11216
2819,Ps 95 Sheila Mencher,4,Public district,"1,289", K-8, Bronx, 10463
2820,Ps 97,4,Public district,659, K-5, Bronx, 10469
2821,Ps 116 Elizabeth L Farrell,4,Public district,390, K-5, Brooklyn, 11237
2822,Ps 118 Lorraine Hansberry,4,Public district,450, PK-5, Queens, 11412
2823,Ps 119 Amersfort,4,Public district,445, PK-5, Brooklyn, 11210
2824,Ps 121 Throop,4,Public district,920, PK-5, Bronx, 10469
2825,Ps 123,4,Public district,683, PK-5, Queens, 11436
2826,Jhs 123 James M Kieran,4,Public district,418, 6-8, Bronx, 10472
2827,Ps 126 Dr Marjorie H Dunbar,4,Public district,571, PK-5, Bronx, 10452
2828,John Ericsson Middle School 126,4,Public district,377, 6-8, Brooklyn, 11222
2829,Ps 130 Abram Stevens Hewitt,4,Public district,496, PK-5, Bronx, 10455
2830,Ps 133 William A Butler,4,Public district,781, PK-5, Brooklyn, 11217
2831,Ps 134 Hollis,4,Public district,380, PK-5, Queens, 11412
2832,The Bellaire School,4,Public district,989, PK-5, Queens, 11427
2833,Ps 136 Roy Wilkins,4,Public district,615, PK-5, Queens, 11412
2834,Ps Is 137 Rachael Jean Mitchell,4,Public district,304, PK-8, Brooklyn, 11233
2835,Ps 140 Nathan Straus,4,Public district,371, PK-8, New York, 10002
2836,Jhs 144 Michelangelo,4,Public district,491, 6-8, Bronx, 10469
2837,Ps 145 Andrew Jackson,4,Public district,581, PK-5, Brooklyn, 11206
2838,Ps 147 Issac Remsen,4,Public district,355, PK-5, Brooklyn, 11206
2839,Ps 148,4,Public district,915, PK-5, Queens, 11369
2840,Ps 149 Danny Kaye,4,Public district,675, PK-5, Brooklyn, 11207
2841,School Of Science And Technology,4,Public district,731, PK-5, Brooklyn, 11210
